"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Türkiye","PUB_IND","Public water supply for industrial activities","2014","2014","M3","Cubic metres","6","Millions",,,111.81,,
"TUR","Türkiye","PUB_IND","Public water supply for industrial activities","2018","2018","M3","Cubic metres","6","Millions",,,159.72,,
"POL","Poland","EXP","Exported water","2020","2020","M3","Cubic metres","6","Millions",,,0,,
"POL","Poland","EXP","Exported water","2021","2021","M3","Cubic metres","6","Millions",,,0.07,,
"DEU","Germany","PUB_IND","Public water supply for industrial activities","2010","2010","M3","Cubic metres","6","Millions",,,364.54,,
"DEU","Germany","PUB_IND","Public water supply for industrial activities","2013","2013","M3","Cubic metres","6","Millions",,,462.51,,
"DEU","Germany","PUB_IND","Public water supply for industrial activities","2016","2016","M3","Cubic metres","6","Millions",,,358.96,,
"LUX","Luxembourg","EXP","Exported water","2017","2017","M3","Cubic metres","6","Millions",,,0,,
"LUX","Luxembourg","EXP","Exported water","2018","2018","M3","Cubic metres","6","Millions",,,0,,
"LUX","Luxembourg","EXP","Exported water","2019","2019","M3","Cubic metres","6","Millions",,,0,,
"LUX","Luxembourg","EXP","Exported water","2020","2020","M3","Cubic metres","6","Millions",,,0,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2003","2003","M3","Cubic metres","6","Millions",,,13178.8,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2004","2004","M3","Cubic metres","6","Millions",,,14147.8,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2005","2005","M3","Cubic metres","6","Millions",,,13237.1,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2006","2006","M3","Cubic metres","6","Millions",,,12756.7,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2007","2007","M3","Cubic metres","6","Millions",,,12881.9,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2008","2008","M3","Cubic metres","6","Millions",,,12671.3,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2009","2009","M3","Cubic metres","6","Millions",,,13626.2,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2010","2010","M3","Cubic metres","6","Millions",,,13311.3,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2011","2011","M3","Cubic metres","6","Millions",,,12692.9,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2012","2012","M3","Cubic metres","6","Millions",,,13302.6,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2013","2013","M3","Cubic metres","6","Millions",,,13960.7,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2014","2014","M3","Cubic metres","6","Millions",,,13631.1,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2015","2015","M3","Cubic metres","6","Millions",,,13957.2,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2016","2016","M3","Cubic metres","6","Millions",,,13649.1,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2017","2017","M3","Cubic metres","6","Millions",,,12861.4,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2018","2018","M3","Cubic metres","6","Millions",,,12101.1,,
"NLD","Netherlands","SELF_IND","Self- and other supply for industrial activities","2019","2019","M3","Cubic metres","6","Millions",,,12507.2,,
"SWE","Sweden","SELF_IND","Self- and other supply for industrial activities","2015","2015","M3","Cubic metres","6","Millions",,,12027,,
"LUX","Luxembourg","ART_RES","Abstractions from artificial reservoirs ","2017","2017","M3","Cubic metres","6","Millions",,,22.095,,
"LUX","Luxembourg","ART_RES","Abstractions from artificial reservoirs ","2018","2018","M3","Cubic metres","6","Millions",,,22.85,,
"LUX","Luxembourg","ART_RES","Abstractions from artificial reservoirs ","2019","2019","M3","Cubic metres","6","Millions",,,23.005,,
"LUX","Luxembourg","ART_RES","Abstractions from artificial reservoirs ","2020","2020","M3","Cubic metres","6","Millions",,,21.733,,
"ESP","Spain","PUB_IND","Public water supply for industrial activities","1997","1997","M3","Cubic metres","6","Millions",,,432.7,,
"ESP","Spain","PUB_IND","Public water supply for industrial activities","1998","1998","M3","Cubic metres","6","Millions",,,449.5,,
"ESP","Spain","PUB_IND","Public water supply for industrial activities","1999","1999","M3","Cubic metres","6","Millions",,,461.8,,
"ESP","Spain","PUB_IND","Public water supply for industrial activities","2000","2000","M3","Cubic metres","6","Millions",,,424.7,,
"ESP","Spain","PUB_IND","Public water supply for industrial activities","2011","2011","M3","Cubic metres","6","Millions",,,357.7,,
"ESP","Spain","PUB_IND","Public water supply for industrial activities","2012","2012","M3","Cubic metres","6","Millions",,,363.3,,
"ESP","Spain","PUB_IND","Public water supply for industrial activities","2013","2013","M3","Cubic metres","6","Millions",,,358.9,,
"ESP","Spain","PUB_IND","Public water supply for industrial activities","2015","2015","M3","Cubic metres","6","Millions",,,362.91,,
"DEU","Germany","SELF_IND","Self- and other supply for industrial activities","2010","2010","M3","Cubic metres","6","Millions",,,25019.81,,
"DEU","Germany","SELF_IND","Self- and other supply for industrial activities","2013","2013","M3","Cubic metres","6","Millions",,,17238.28,,
"DEU","Germany","SELF_IND","Self- and other supply for industrial activities","2016","2016","M3","Cubic metres","6","Millions",,,16185.82,,
"DNK","Denmark","PUB_IND","Public water supply for industrial activities","2010","2010","M3","Cubic metres","6","Millions",,,39.44,,
"DNK","Denmark","PUB_IND","Public water supply for industrial activities","2011","2011","M3","Cubic metres","6","Millions",,,36.31,,
"DNK","Denmark","PUB_IND","Public water supply for industrial activities","2012","2012","M3","Cubic metres","6","Millions",,,37.03,,
"DNK","Denmark","PUB_IND","Public water supply for industrial activities","2013","2013","M3","Cubic metres","6","Millions",,,37.26,,
"DNK","Denmark","PUB_IND","Public water supply for industrial activities","2014","2014","M3","Cubic metres","6","Millions",,,41.91,,
"DNK","Denmark","PUB_IND","Public water supply for industrial activities","2015","2015","M3","Cubic metres","6","Millions",,,42.69,,
"DNK","Denmark","PUB_IND","Public water supply for industrial activities","2016","2016","M3","Cubic metres","6","Millions",,,44.07,,
"DNK","Denmark","PUB_IND","Public water supply for industrial activities","2017","2017","M3","Cubic metres","6","Millions",,,39.98,,
"DNK","Denmark","PUB_IND","Public water supply for industrial activities","2018","2018","M3","Cubic metres","6","Millions",,,40.13,,
"DNK","Denmark","PUB_IND","Public water supply for industrial activities","2019","2019","M3","Cubic metres","6","Millions",,,38.38,,
"DNK","Denmark","PUB_IND","Public water supply for industrial activities","2020","2020","M3","Cubic metres","6","Millions",,,37.62,,
"CHE","Switzerland","PUB_IND","Public water supply for industrial activities","2012","2012","M3","Cubic metres","6","Millions",,,79.9,,
"BEL","Belgium","PUB_IND","Public water supply for industrial activities","1995","1995","M3","Cubic metres","6","Millions",,,97.9,,
"POL","Poland","PUB_IND","Public water supply for industrial activities","2016","2016","M3","Cubic metres","6","Millions",,,27.65,,
"POL","Poland","PUB_IND","Public water supply for industrial activities","2017","2017","M3","Cubic metres","6","Millions",,,27.79,,
"POL","Poland","PUB_IND","Public water supply for industrial activities","2018","2018","M3","Cubic metres","6","Millions",,,26.5,,
"POL","Poland","PUB_IND","Public water supply for industrial activities","2019","2019","M3","Cubic metres","6","Millions",,,26.74,,
"POL","Poland","PUB_IND","Public water supply for industrial activities","2020","2020","M3","Cubic metres","6","Millions",,,28.85,,
"ESP","Spain","SELF_IND","Self- and other supply for industrial activities","2000","2000","M3","Cubic metres","6","Millions",,,7049.1,,
"ESP","Spain","SELF_IND","Self- and other supply for industrial activities","2001","2001","M3","Cubic metres","6","Millions",,,7059.6,,
"ESP","Spain","SELF_IND","Self- and other supply for industrial activities","2002","2002","M3","Cubic metres","6","Millions",,,7273.1,,
"ESP","Spain","SELF_IND","Self- and other supply for industrial activities","2006","2006","M3","Cubic metres","6","Millions",,,7424.6,,
"ESP","Spain","SELF_IND","Self- and other supply for industrial activities","2011","2011","M3","Cubic metres","6","Millions",,,6873.4,,
"ESP","Spain","SELF_IND","Self- and other supply for industrial activities","2012","2012","M3","Cubic metres","6","Millions",,,6819.6,,
"ESP","Spain","SELF_IND","Self- and other supply for industrial activities","2013","2013","M3","Cubic metres","6","Millions",,,6653.2,,
"ESP","Spain","SELF_IND","Self- and other supply for industrial activities","2014","2014","M3","Cubic metres","6","Millions",,,6590.6,,
"ESP","Spain","SELF_IND","Self- and other supply for industrial activities","2015","2015","M3","Cubic metres","6","Millions",,,6374.65,,
"ESP","Spain","SELF_IND","Self- and other supply for industrial activities","2016","2016","M3","Cubic metres","6","Millions",,,6253.88,,
